bizType	merchantNo	goodsNo	type	categoryNo	cover	title	subtitle	auditStatus	onSale	auditReason	skus
FRESH	M0002	G-FRESH-04	FRESH	CAT122	🍎	烟台红富士 5斤	脆甜爽口	APPROVED	1		5斤:2980:3580:110
FRESH	M0002	G-FRESH-05	FRESH	CAT122	🥭	海南贵妃芒 3斤	树上熟	APPROVED	1		3斤:3680:4280:55
FRESH	M0002	G-FRESH-06	FRESH	CAT121	🍒	智利车厘子 2斤 JJ级	空运直达	APPROVED	1		2斤:12800:15800:25
FRESH	M0002	G-FRESH-07	FRESH	CAT122	🍉	麒麟西瓜 8斤装	沙甜多汁	APPROVED	1		8斤:2980::60
FRESH	M0002	G-FRESH-08	FRESH	CAT121	🍇	阳光玫瑰葡萄 2斤	无籽脆甜	APPROVED	1		2斤:4880:5880:42
FRESH	M0002	G-FRESH-09	FRESH	CAT122	🥥	泰国金枕榴莲 3斤	开壳即食	APPROVED	1		3斤:13800:16800:18
FRESH	M0002	G-FRESH-10	FRESH	CAT122	🍈	新疆哈密瓜 6斤	日照充足	APPROVED	1		6斤:3480::48
FRESH	M0002	G-FRESH-11	FRESH	CAT122	🍊	福建蜜柚 2个装	清甜不酸	APPROVED	1		2个:2580:2980:70
FRESH	M0002	G-FRESH-12	FRESH	CAT121	🍓	丹东草莓 2斤	九九红颜	APPROVED	1		2斤:6880:7880:28
FRESH	M0002	G-FRESH-13	FRESH	CAT122	🍊	砂糖橘 5斤	小巧香甜	APPROVED	1		5斤:2680::95
FRESH	M0002	G-FRESH-14	FRESH	CAT122	🐉	红心火龙果 4个	果肉紧实	APPROVED	1		4个:3280:3880:52
FRESH	M0002	G-FRESH-15	FRESH	CAT122	🥑	进口牛油果 6个	即食软硬可选	APPROVED	1		6个:3980::38
FRESH	M0002	G-FRESH-16	FRESH	CAT111	🥬	本地小青菜 500g	当日采摘	APPROVED	1		500g:480::150
FRESH	M0002	G-FRESH-17	FRESH	CAT111	🥬	上海青 500g	叶嫩梗脆	APPROVED	1		500g:520::140
FRESH	M0002	G-FRESH-18	FRESH	CAT111	🥬	菠菜 400g	铁质丰富	APPROVED	1		400g:580:680:120
FRESH	M0002	G-FRESH-19	FRESH	CAT111	🥗	生菜 400g	可生食	APPROVED	1		400g:620::130
FRESH	M0002	G-FRESH-20	FRESH	CAT111	🥬	空心菜 500g	清炒最佳	APPROVED	1		500g:560::110
FRESH	M0002	G-FRESH-21	FRESH	CAT111	🥬	茼蒿 400g	火锅必备	APPROVED	1		400g:680::85
FRESH	M0002	G-FRESH-22	FRESH	CAT111	🥬	娃娃菜 3颗	炖煮清甜	APPROVED	1		3颗:780:880:100
FRESH	M0002	G-FRESH-23	FRESH	CAT112	🥔	土豆 2斤	黄心粉糯	AUDITING	0		2斤:680::160
FRESH	M0002	G-FRESH-24	FRESH	CAT112	🥕	胡萝卜 2斤	脆甜多汁	AUDITING	0		2斤:580::155
FRESH	M0002	G-FRESH-25	FRESH	CAT112	🥬	白萝卜 2斤	炖汤最佳	AUDITING	0		2斤:520::145
FRESH	M0002	G-FRESH-26	FRESH	CAT112	🍠	红薯 3斤	蜜薯 烤着吃	REJECTED	0	标题含夸大宣传用语，请修改后重新提交	3斤:980:1180:105
FRESH	M0002	G-FRESH-27	FRESH	CAT112	🍠	山药 2斤	铁棍山药	REJECTED	0	标题含夸大宣传用语，请修改后重新提交	2斤:1880:2280:65
FRESH	M0002	G-FRESH-28	FRESH	CAT112	🫚	生姜 500g	老姜 去腥	APPROVED	0		500g:880::90
FRESH	M0002	G-FRESH-29	FRESH	CAT112	🧄	大蒜 500g	紫皮蒜	APPROVED	0		500g:780::95
FRESH	M0002	G-FRESH-30	FRESH	CAT112	🧅	洋葱 2斤	紫皮 辛香	APPROVED	0		2斤:620::120
DELI	M0003	G-DELI-01	NORMAL	CAT140	🍗	盐焗鸡 整只	客家做法 咸香入味	APPROVED	1		整只:4880:5880:30
DELI	M0003	G-DELI-02	NORMAL	CAT140	🥩	卤牛腱 400g	慢火三小时	APPROVED	1		400g:6880:7880:25
DELI	M0003	G-DELI-03	NORMAL	CAT140	🦆	酱鸭 半只	老卤 香而不腻	APPROVED	1		半只:3280:3880:35
DELI	M0003	G-DELI-04	NORMAL	CAT140	🐔	白切鸡 半只	皮爽肉滑	APPROVED	1		半只:3580::28
DELI	M0003	G-DELI-05	NORMAL	CAT140	🦆	烤鸭 整只	果木明炉	APPROVED	1		整只:6800:7800:20
DELI	M0003	G-DELI-06	NORMAL	CAT140	🍖	糖醋排骨 400g	家常下饭	APPROVED	1		400g:4280::32
DELI	M0003	G-DELI-07	NORMAL	CAT140	🍲	红烧狮子头 4只	江南做法	APPROVED	1		4只:3880:4580:26
DELI	M0003	G-DELI-08	NORMAL	CAT140	🍖	梅菜扣肉 500g	肥而不腻	APPROVED	1		500g:4680:5280:24
DELI	M0003	G-DELI-09	NORMAL	CAT140	🍢	卤味拼盘 大份	鸭脖鸭掌鸭翅	APPROVED	1		大份:5880:6880:22
DELI	M0003	G-DELI-10	NORMAL	CAT140	🍖	酱猪蹄 2只	胶质满满	APPROVED	1		2只:3880::30
DELI	M0003	G-DELI-11	NORMAL	CAT140	🥬	现炒时蔬 3份装	当日现炒	APPROVED	1		3份:2480::45
DELI	M0003	G-DELI-12	NORMAL	CAT140	🦐	蒜蓉粉丝虾 6只	蒜香浓郁	APPROVED	1		6只:4880:5680:18
DELI	M0003	G-DELI-13	NORMAL	CAT140	🐟	清蒸鲈鱼 1条	鲜嫩少刺	APPROVED	1		1条:5280::16
DELI	M0003	G-DELI-14	NORMAL	CAT140	🥩	小炒黄牛肉 400g	湘味微辣	APPROVED	1		400g:5880:6580:20
DELI	M0003	G-DELI-15	NORMAL	CAT140	🥦	干锅花菜 400g	锅气十足	APPROVED	1		400g:2280::40
DELI	M0003	G-DELI-16	NORMAL	CAT140	🥟	鲜肉小笼包 12只	现包现蒸	APPROVED	1		12只:1880:2280:60
DELI	M0003	G-DELI-17	NORMAL	CAT140	🥟	三鲜水饺 20只	皮薄馅大	APPROVED	1		20只:2280::70
DELI	M0003	G-DELI-18	NORMAL	CAT140	🥟	鲜虾烧麦 8只	粒粒饱满	APPROVED	1		8只:2680:3080:50
DELI	M0003	G-DELI-19	NORMAL	CAT140	🥟	流沙包 6只	咸蛋黄流心	APPROVED	1		6只:1680::55
DELI	M0003	G-DELI-20	NORMAL	CAT140	🍜	葱油拌面 2份	上海味道	APPROVED	1		2份:1880::65
DELI	M0003	G-DELI-21	NORMAL	CAT140	🍜	阳春面 2份	清汤本味	APPROVED	1		2份:1580::58
DELI	M0003	G-DELI-22	NORMAL	CAT140	🥣	八宝粥 4碗	早餐暖胃	APPROVED	1		4碗:1980:2380:48
DELI	M0003	G-DELI-23	NORMAL	CAT140	🥣	皮蛋瘦肉粥 2碗	绵密顺滑	AUDITING	0		2碗:1680::52
DELI	M0003	G-DELI-24	NORMAL	CAT140	🥛	现磨豆浆 1L	无添加蔗糖	AUDITING	0		1L:980::80
DELI	M0003	G-DELI-25	NORMAL	CAT140	🥖	手工油条 4根	现炸酥脆	AUDITING	0		4根:880::90
DELI	M0003	G-DELI-26	NORMAL	CAT140	🍞	红糖馒头 6只	老面发酵	REJECTED	0	标题含夸大宣传用语，请修改后重新提交	6只:1080::75
DELI	M0003	G-DELI-27	NORMAL	CAT140	🥟	糯米烧麦 6只	糯香扎实	REJECTED	0	标题含夸大宣传用语，请修改后重新提交	6只:1880::44
DELI	M0003	G-DELI-28	NORMAL	CAT140	🍚	腊味煲仔饭 1份	瓦煲现做	APPROVED	0		1份:2880:3280:36
DELI	M0003	G-DELI-29	NORMAL	CAT140	🍛	咖喱牛腩饭 1份	南洋风味	APPROVED	0		1份:3280::34
DELI	M0003	G-DELI-30	NORMAL	CAT140	🍲	番茄牛腩汤 1盅	炖足两小时	APPROVED	0		1盅:3680:4280:28
PHAR	M0004	G-PHAR-01	NORMAL	CAT240	💊	布洛芬缓释胶囊 20粒	退热镇痛	APPROVED	1		20粒:1880::60
PHAR	M0004	G-PHAR-02	NORMAL	CAT240	💊	对乙酰氨基酚片 20片	解热镇痛	APPROVED	1		20片:1280::80
PHAR	M0004	G-PHAR-03	NORMAL	CAT240	💊	阿莫西林胶囊 24粒	处方药 凭方购买	APPROVED	1		24粒:2480::40
PHAR	M0004	G-PHAR-04	NORMAL	CAT240	💊	蒙脱石散 10袋	止泻	APPROVED	1		10袋:1980::55
PHAR	M0004	G-PHAR-05	NORMAL	CAT240	🧴	藿香正气水 10支	解暑化湿	APPROVED	1		10支:1580:1880:70
PHAR	M0004	G-PHAR-06	NORMAL	CAT240	🍵	板蓝根颗粒 20袋	清热解毒	APPROVED	1		20袋:1880::90
PHAR	M0004	G-PHAR-07	NORMAL	CAT240	🍵	999 感冒灵颗粒 9袋	缓解感冒症状	APPROVED	1		9袋:1580::110
PHAR	M0004	G-PHAR-08	NORMAL	CAT240	💊	连花清瘟胶囊 24粒	清瘟解毒	APPROVED	1		24粒:2580:2980:85
PHAR	M0004	G-PHAR-09	NORMAL	CAT240	💊	健胃消食片 32片	消食化积	APPROVED	1		32片:980::120
PHAR	M0004	G-PHAR-10	NORMAL	CAT240	🧴	蒙脱石混悬液 6支	儿童适用	APPROVED	1		6支:2880::35
PHAR	M0004	G-PHAR-11	NORMAL	CAT240	💊	维生素 C 泡腾片 20片	补充维C	APPROVED	1		20片:2280:2680:95
PHAR	M0004	G-PHAR-12	NORMAL	CAT240	💊	钙尔奇碳酸钙 60片	补钙	APPROVED	1		60片:4880:5680:50
PHAR	M0004	G-PHAR-13	NORMAL	CAT240	💊	善存复合维生素 60片	多维矿物	APPROVED	1		60片:6880:7880:45
PHAR	M0004	G-PHAR-14	NORMAL	CAT240	💊	鱼油软胶囊 100粒	深海鱼油	APPROVED	1		100粒:8880:9880:30
PHAR	M0004	G-PHAR-15	NORMAL	CAT240	🥛	益生菌固体饮料 20袋	肠道调理	APPROVED	1		20袋:5880:6880:40
PHAR	M0004	G-PHAR-16	NORMAL	CAT240	🩹	创可贴 100片	防水透气	APPROVED	1		100片:1280::150
PHAR	M0004	G-PHAR-17	NORMAL	CAT240	🩹	医用无菌纱布 10片	无菌独立包装	APPROVED	1		10片:980::130
PHAR	M0004	G-PHAR-18	NORMAL	CAT240	🧴	碘伏消毒棉签 50支	便携装	APPROVED	1		50支:880::140
PHAR	M0004	G-PHAR-19	NORMAL	CAT240	🧻	75% 酒精湿巾 100片	居家消毒	APPROVED	1		100片:1580:1880:100
PHAR	M0004	G-PHAR-20	NORMAL	CAT240	😷	医用口罩 50只	一次性三层	APPROVED	1		50只:1980:2480:200
PHAR	M0004	G-PHAR-21	NORMAL	CAT240	😷	N95 防护口罩 20只	独立包装	APPROVED	1		20只:3880:4580:80
PHAR	M0004	G-PHAR-22	NORMAL	CAT240	🌡️	电子体温计	腋下 30 秒	APPROVED	1		单支:3880::60
PHAR	M0004	G-PHAR-23	NORMAL	CAT240	🌡️	红外额温枪	非接触测温	AUDITING	0		单支:8880:10800:25
PHAR	M0004	G-PHAR-24	NORMAL	CAT240	🩺	电子血压计 上臂式	一键测量	AUDITING	0		单台:19800:23800:18
PHAR	M0004	G-PHAR-25	NORMAL	CAT240	🩺	血糖仪套装	含 50 试纸	AUDITING	0		套装:23800:27800:12
PHAR	M0004	G-PHAR-26	NORMAL	CAT240	🩹	医用护腰带	腰椎支撑	REJECTED	0	标题含夸大宣传用语，请修改后重新提交	均码:6880:7880:22
PHAR	M0004	G-PHAR-27	NORMAL	CAT240	🔥	暖宝宝贴 10片	持续 12 小时	REJECTED	0	标题含夸大宣传用语，请修改后重新提交	10片:1580::110
PHAR	M0004	G-PHAR-28	NORMAL	CAT240	🧴	云南白药气雾剂	活血散瘀	APPROVED	0		单瓶:3880::48
PHAR	M0004	G-PHAR-29	NORMAL	CAT240	🧴	红花油 30ml	舒筋活络	APPROVED	0		30ml:1880::65
PHAR	M0004	G-PHAR-30	NORMAL	CAT240	🧴	生理性海水鼻喷 60ml	儿童可用	APPROVED	0		60ml:4880:5480:42
SERV	M0005	G-SERV-01	SERVICE	CAT310	🧹	日常保洁 2 小时	含常规清洁工具	APPROVED	1		2小时:9800:12800:999
SERV	M0005	G-SERV-02	SERVICE	CAT310	🧹	日常保洁 4 小时	适合三居	APPROVED	1		4小时:18800:23800:999
SERV	M0005	G-SERV-03	SERVICE	CAT310	🧼	深度开荒保洁	新房入住前	APPROVED	1		100㎡内:68800:88800:999
SERV	M0005	G-SERV-04	SERVICE	CAT310	🪟	擦玻璃 单面 10㎡	高层外窗加价	APPROVED	1		10㎡:12800::999
SERV	M0005	G-SERV-05	SERVICE	CAT310	🧽	油烟机深度清洗	拆洗 免费换密封条	APPROVED	1		单台:16800:19800:999
SERV	M0005	G-SERV-06	SERVICE	CAT310	❄️	空调清洗 挂机	内外机深度	APPROVED	1		单台:12800:15800:999
SERV	M0005	G-SERV-07	SERVICE	CAT310	❄️	空调清洗 柜机	内外机深度	APPROVED	1		单台:19800:23800:999
SERV	M0005	G-SERV-08	SERVICE	CAT310	🧺	洗衣机深度清洗	波轮/滚筒	APPROVED	1		单台:13800:16800:999
SERV	M0005	G-SERV-09	SERVICE	CAT310	🧊	冰箱清洗除味	除霜 除菌	APPROVED	1		单台:11800::999
SERV	M0005	G-SERV-10	SERVICE	CAT310	🛋️	沙发干洗 三人位	布艺专用	APPROVED	1		三人位:19800:23800:999
SERV	M0005	G-SERV-11	SERVICE	CAT310	🧶	地毯清洗 每㎡	上门取送	APPROVED	1		每㎡:1580::999
SERV	M0005	G-SERV-12	SERVICE	CAT310	🛏️	床垫除螨 1.8m	高温蒸汽	APPROVED	1		1.8m:15800:18800:999
SERV	M0005	G-SERV-13	SERVICE	CAT310	🌿	全屋除甲醛 100㎡	含检测报告	APPROVED	1		100㎡:128800:158800:999
SERV	M0005	G-SERV-14	SERVICE	CAT310	🪳	室内消杀 除蟑	保 3 个月	APPROVED	1		80㎡内:29800:35800:999
SERV	M0005	G-SERV-15	SERVICE	CAT310	👕	衣物收纳整理 4 小时	含收纳规划	APPROVED	1		4小时:29800::999
SERV	M0005	G-SERV-16	SERVICE	CAT320	🔧	水管疏通 厨房	含拆装	APPROVED	1		单次:13800:16800:999
SERV	M0005	G-SERV-17	SERVICE	CAT320	🚽	马桶疏通	不通不收费	APPROVED	1		单次:15800::999
SERV	M0005	G-SERV-18	SERVICE	CAT320	🚰	水龙头更换	含普通龙头	APPROVED	1		单只:6800:8800:999
SERV	M0005	G-SERV-19	SERVICE	CAT320	💡	灯具安装 吸顶灯	3 米内层高	APPROVED	1		单只:6800::999
SERV	M0005	G-SERV-20	SERVICE	CAT320	🔌	插座开关更换	含面板	APPROVED	1		单只:4800::999
SERV	M0005	G-SERV-21	SERVICE	CAT320	📺	电视挂架安装	含支架	APPROVED	1		单台:12800:15800:999
SERV	M0005	G-SERV-22	SERVICE	CAT320	❄️	空调移机 挂机	含拆装+加氟	APPROVED	1		单台:39800:45800:999
SERV	M0005	G-SERV-23	SERVICE	CAT320	🚿	热水器安装 燃气	含烟管	AUDITING	0		单台:29800::999
SERV	M0005	G-SERV-24	SERVICE	CAT320	🔐	门锁更换 指纹锁	含开孔	AUDITING	0		单把:19800:25800:999
SERV	M0005	G-SERV-25	SERVICE	CAT320	🗝️	防盗门开锁	持证上门	AUDITING	0		单次:16800::999
SERV	M0005	G-SERV-26	SERVICE	CAT320	🎨	墙面修补 5㎡内	含腻子乳胶漆	REJECTED	0	标题含夸大宣传用语，请修改后重新提交	5㎡:29800:35800:999
SERV	M0005	G-SERV-27	SERVICE	CAT320	🪟	窗帘安装 含轨道	3 米内	REJECTED	0	标题含夸大宣传用语，请修改后重新提交	每窗:9800::999
SERV	M0005	G-SERV-28	SERVICE	CAT320	🪛	家具拆装 衣柜	含五金	APPROVED	0		单件:13800:16800:999
SERV	M0005	G-SERV-29	SERVICE	CAT320	💻	电脑上门维修	系统/硬件	APPROVED	0		单次:12800::999
SERV	M0005	G-SERV-30	SERVICE	CAT320	🌐	网络布线 每米	含水晶头	APPROVED	0		每米:580::999
CARD	M0006	G-CARD-01	CARD	CAT400	📱	话费充值 50 元	移动/联通/电信	APPROVED	1		50元:4950:5000:9999
CARD	M0006	G-CARD-02	CARD	CAT400	📱	话费充值 100 元	三网通用	APPROVED	1		100元:9900:10000:9999
CARD	M0006	G-CARD-03	CARD	CAT400	📱	话费充值 200 元	三网通用	APPROVED	1		200元:19800:20000:9999
CARD	M0006	G-CARD-04	CARD	CAT400	⚡	电费充值 100 元	国网直充	APPROVED	1		100元:9950:10000:9999
CARD	M0006	G-CARD-05	CARD	CAT400	🔥	燃气费充值 100 元	本地燃气	APPROVED	1		100元:9950:10000:9999
CARD	M0006	G-CARD-06	CARD	CAT400	💧	水费充值 100 元	本地自来水	APPROVED	1		100元:9950:10000:9999
CARD	M0006	G-CARD-07	CARD	CAT400	💳	虹选商城储值卡 100	店内通用	APPROVED	1		100元:9800:10000:5000
CARD	M0006	G-CARD-08	CARD	CAT400	💳	虹选商城储值卡 200	店内通用	APPROVED	1		200元:19600:20000:3000
CARD	M0006	G-CARD-09	CARD	CAT400	💳	虹选商城储值卡 500	店内通用	APPROVED	1		500元:48500:50000:1500
CARD	M0006	G-CARD-10	CARD	CAT400	💳	虹选商城储值卡 1000	店内通用	APPROVED	1		1000元:96000:100000:800
CARD	M0006	G-CARD-11	CARD	CAT400	🎟️	生鲜专享券 满50减10	限生鲜类目	APPROVED	1		单张:800:1000:2000
CARD	M0006	G-CARD-12	CARD	CAT400	🎟️	生鲜专享券 满100减25	限生鲜类目	APPROVED	1		单张:2000:2500:1200
CARD	M0006	G-CARD-13	CARD	CAT400	🎟️	粮油专享券 满80减15	限粮油调味	APPROVED	1		单张:1200:1500:1500
CARD	M0006	G-CARD-14	CARD	CAT400	🎟️	熟食专享券 满60减12	限餐饮熟食	APPROVED	1		单张:1000:1200:1000
CARD	M0006	G-CARD-15	CARD	CAT400	🎟️	家政首单券 减30	限家政保洁	APPROVED	1		单张:2400:3000:800
CARD	M0006	G-CARD-16	CARD	CAT400	🎟️	维修首单券 减20	限维修安装	APPROVED	1		单张:1600:2000:800
CARD	M0006	G-CARD-17	CARD	CAT400	🎁	新人礼包券包	5 张组合	APPROVED	1		券包:990:3000:3000
CARD	M0006	G-CARD-18	CARD	CAT400	🎟️	周末爆品券 满99减30	周末限用	APPROVED	1		单张:2400:3000:600
CARD	M0006	G-CARD-19	CARD	CAT400	🪪	会员月卡	每月 4 张免运费	APPROVED	1		月卡:1200:1900:2500
CARD	M0006	G-CARD-20	CARD	CAT400	🪪	会员季卡	每月 6 张免运费	APPROVED	1		季卡:3200:5700:1200
CARD	M0006	G-CARD-21	CARD	CAT400	🪪	会员年卡	每月 8 张免运费	APPROVED	1		年卡:9800:22800:600
CARD	M0006	G-CARD-22	CARD	CAT400	🚚	免运费券 10 张	不限品类	APPROVED	1		10张:1500:2000:2000
CARD	M0006	G-CARD-23	CARD	CAT400	🎂	生日双倍积分券	生日当月可用	AUDITING	0		单张:500::1500
CARD	M0006	G-CARD-24	CARD	CAT400	🚗	洗车卡 5 次	合作门店通用	AUDITING	0		5次:12800:16800:300
CARD	M0006	G-CARD-25	CARD	CAT400	💈	理发卡 10 次	合作门店通用	AUDITING	0		10次:29800:39800:200
CARD	M0006	G-CARD-26	CARD	CAT400	🏋️	健身月卡	合作场馆	REJECTED	0	标题含夸大宣传用语，请修改后重新提交	月卡:19800:29800:150
CARD	M0006	G-CARD-27	CARD	CAT400	🎬	电影票代金券 50	全国通兑	REJECTED	0	标题含夸大宣传用语，请修改后重新提交	50元:4200:5000:500
CARD	M0006	G-CARD-28	CARD	CAT400	📺	视频会员月卡	主流平台	APPROVED	0		月卡:1500:2500:1000
CARD	M0006	G-CARD-29	CARD	CAT400	🎵	音乐会员月卡	主流平台	APPROVED	0		月卡:800:1500:1000
CARD	M0006	G-CARD-30	CARD	CAT400	☁️	云盘会员月卡	超级会员	APPROVED	0		月卡:1800:3000:800
